symbol,company_name,price,change,perc_change,volume
WBTN,WEBTOON Entertainment Inc.,20.80,+5.84,+39.04,8.747M
QMMM,QMMM Holdings Limited,88.00,+16.25,+22.65,574276
BBAI,"BigBear.ai Holdings, Inc.",5.94,+0.85,+16.70,207.011M
PAGS,PagSeguro Digital Ltd.,10.74,+1.04,+10.72,10.989M
PBF,PBF Energy Inc.,30.62,+2.70,+9.67,3.638M
BE,Bloom Energy Corporation,73.29,+6.27,+9.36,13.348M
ABTC,American Bitcoin Corp,7.73,+0.65,+9.26,6.985M
CVI,"CVR Energy, Inc.",33.18,+2.71,+8.89,2.838M
CLSK,"CleanSpark, Inc.",11.20,+0.91,+8.84,29.273M
FIGR,"Figure Technology Solutions, Inc.",40.48,+3.15,+8.44,8.072M
NIO,NIO Inc.,7.02,+0.53,+8.17,126.922M
MARA,"MARA Holdings, Inc.",17.53,+1.29,+7.94,111.67M
KTOS,"Kratos Defense & Security Solutions, Inc.",76.35,+5.61,+7.93,5.299M
FERG,Ferguson Enterprises Inc.,231.54,+17.01,+7.93,5.042M
DAR,Darling Ingredients Inc.,33.87,+2.48,+7.90,5.908M
BIDU,"Baidu, Inc.",123.79,+8.97,+7.81,11.762M
BEAM,Beam Therapeutics Inc.,22.91,+1.63,+7.66,3.245M
APA,APA Corporation,24.51,+1.60,+6.98,11.222M
VERX,"Vertex, Inc.",25.52,+1.56,+6.51,2.095M
MUR,Murphy Oil Corporation,27.81,+1.66,+6.35,2.687M
STLD,"Steel Dynamics, Inc.",139.67,+8.09,+6.15,2.345M
CIFR,Cipher Mining Inc.,11.51,+0.66,+6.08,30.24M
AVAV,"AeroVironment, Inc.",265.87,+14.83,+5.91,1.327M
CRSP,CRISPR Therapeutics AG,61.19,+3.35,+5.79,3.856M
IONQ,"IonQ, Inc.",62.26,+3.15,+5.33,30.269M
BMNR,"Bitmine Immersion Technologies, Inc.",55.93,+2.82,+5.31,51.782M
AMKR,"Amkor Technology, Inc.",27.04,+1.36,+5.30,3.642M
RIVN,"Rivian Automotive, Inc.",14.32,+0.72,+5.29,62.268M
RGEN,Repligen Corporation,119.75,+6.01,+5.28,1.338M
SM,SM Energy Company,27.41,+1.34,+5.14,1.989M
CRK,"Comstock Resources, Inc.",17.07,+0.83,+5.11,2.248M
TGS,Transportadora de Gas del Sur S.A.,22.25,+1.07,+5.05,813404
KLIC,"Kulicke and Soffa Industries, Inc.",41.13,+1.98,+5.04,974937
OXY,Occidental Petroleum Corporation,47.76,+2.29,+5.04,13.791M
RIOT,"Riot Platforms, Inc.",17.52,+0.84,+5.04,53.824M
MENS,Jyong Biotech Ltd.,54.42,+2.60,+5.02,257843
NOV,NOV Inc.,13.30,+0.60,+4.72,4.008M
WFRD,Weatherford International plc,64.14,+2.74,+4.46,602739
TMC,TMC the metals company Inc.,5.67,+0.24,+4.42,7.867M
CHA,Chagee Holdings Limited,17.27,+0.72,+4.35,1.179M
WULF,TeraWulf Inc.,10.94,+0.45,+4.29,34.934M
PAM,Pampa Energía S.A.,61.75,+2.52,+4.25,286989
TMDX,"TransMedics Group, Inc.",119.15,+4.86,+4.25,702924
HSY,The Hershey Company,193.45,+7.89,+4.25,2.505M
ROKU,"Roku, Inc.",97.91,+3.97,+4.23,4.407M
BG,Bunge Global SA,83.69,+3.39,+4.22,2.43M
VSEC,VSE Corporation,172.39,+6.91,+4.18,254636
WIX,Wix.com Ltd.,178.00,+7.13,+4.17,2.252M
PRCT,PROCEPT BioRobotics Corporation,39.57,+1.57,+4.13,1.413M
OVV,Ovintiv Inc.,42.35,+1.68,+4.13,3.213M
HP,"Helmerich & Payne, Inc.",21.77,+0.86,+4.11,1.343M
RGTI,"Rigetti Computing, Inc.",20.00,+0.79,+4.11,43.318M
BWIN,"The Baldwin Insurance Group, Inc.",31.31,+1.23,+4.09,1.065M
CRGY,Crescent Energy Company,8.76,+0.34,+4.04,4.334M
MRNA,"Moderna, Inc.",24.84,+0.96,+4.02,15.57M
CHRD,Chord Energy Corporation,106.42,+4.11,+4.02,1.674M
KVYO,"Klaviyo, Inc.",32.92,+1.27,+4.01,4.498M
MGY,Magnolia Oil & Gas Corporation,24.61,+0.94,+3.97,2.454M
PTEN,"Patterson-UTI Energy, Inc.",5.62,+0.21,+3.88,5.941M
FORM,"FormFactor, Inc.",31.90,+1.18,+3.84,953756
ENVA,"Enova International, Inc.",121.13,+4.47,+3.83,684396
YPF,YPF Sociedad Anónima,27.71,+1.02,+3.82,1.55M
STVN,Stevanato Group S.p.A.,27.23,+1.00,+3.81,445272
SNAP,Snap Inc.,7.74,+0.28,+3.75,147.757M
BRKR,Bruker Corporation,33.26,+1.19,+3.71,3.645M
GGAL,Grupo Financiero Galicia S.A.,30.25,+1.07,+3.67,1.583M
FOLD,"Amicus Therapeutics, Inc.",8.01,+0.28,+3.62,7.337M
ONTO,Onto Innovation Inc.,120.58,+4.21,+3.62,2.451M
CIVI,"Civitas Resources, Inc.",33.56,+1.17,+3.61,1.907M
QBTS,D-Wave Quantum Inc.,18.98,+0.66,+3.60,37.953M
SKY,"Champion Homes, Inc.",77.97,+2.69,+3.57,1.157M
CSAN,Cosan S.A.,5.82,+0.20,+3.56,1.946M
DVN,Devon Energy Corporation,34.97,+1.20,+3.55,7.799M
RH,RH,230.70,+7.87,+3.53,916307
SOUN,"SoundHound AI, Inc.",14.69,+0.50,+3.52,65.978M
BRBR,"BellRing Brands, Inc.",36.75,+1.24,+3.49,2.614M
VIST,"Vista Energy, S.A.B. de C.V.",36.65,+1.23,+3.47,810157
GLXY,Galaxy Digital,31.83,+1.06,+3.44,9.35M
NE,Noble Corporation plc,31.60,+1.05,+3.44,2.823M
SITM,SiTime Corporation,288.61,+9.48,+3.39,490112
SAM,"The Boston Beer Company, Inc.",222.35,+7.24,+3.37,336272
CGON,"CG Oncology, Inc.",35.76,+1.16,+3.35,1.426M
MLYS,"Mineralys Therapeutics, Inc.",37.42,+1.21,+3.34,1.301M
CHWY,"Chewy, Inc.",38.18,+1.23,+3.33,10.388M
NOG,"Northern Oil and Gas, Inc.",25.79,+0.83,+3.33,1.549M
TCOM,Trip.com Group Limited,76.58,+2.46,+3.32,4.216M
BMA,Banco Macro S.A.,43.85,+1.40,+3.30,498144
VG,"Venture Global, Inc.",14.10,+0.45,+3.30,6.58M
SMPL,The Simply Good Foods Company,27.00,+0.86,+3.29,1.887M
ALKS,Alkermes plc,27.39,+0.87,+3.28,2.087M
DLO,DLocal Limited,14.64,+0.46,+3.24,4.091M
ALAB,"Astera Labs, Inc.",238.79,+7.50,+3.24,4.365M
JD,"JD.com, Inc.",34.71,+1.09,+3.24,27.59M
VLO,Valero Energy Corporation,162.64,+5.07,+3.22,2.919M
MTDR,Matador Resources Company,47.98,+1.49,+3.20,2.027M
RELY,"Remitly Global, Inc.",17.20,+0.53,+3.18,4.058M
GME,GameStop Corp.,26.34,+0.81,+3.17,9.783M
KYMR,"Kymera Therapeutics, Inc.",48.78,+1.50,+3.17,894833
SGHC,Super Group (SGHC) Limited,13.09,+0.40,+3.15,4.474M
RNA,"Avidity Biosciences, Inc.",41.44,+1.25,+3.11,2.078M
SDRL,Seadrill Limited,34.03,+1.02,+3.09,724234
PSIX,"Power Solutions International, Inc.",98.42,+2.89,+3.03,579100
ON,ON Semiconductor Corporation,49.56,+1.45,+3.01,8.156M
ADM,Archer-Daniels-Midland Company,62.35,+1.82,+3.01,4.665M
PONY,Pony AI Inc.,17.13,+0.50,+3.01,11.148M
,,nan,,,
